Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past
*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,Star0179,Star0153,Star0051,Star0051,Star0176,Star0150,Star0001,Star0159,Star0043,Star0043,Star0003,Star0165,Star0162,Star0178,Star0033,Star0033,Star0163,Star0154,Star0155,Star0056,Star0056,Star0014,Star0171,Star0009,Star0032,Star0032,Star0168,Star0169,Star0156,Star0174,Star0170,Star0040,Star0040,Star0152,Star0093,Star0093,Star0093,Star0093,Star0093,Star0093,Star0093,Star0093,Star0046,Star0046,Star0164,Star0177,Star0054,Star0054,Star0166,Star0036,Star0036,Star0173,Star0158,Star0172,Star0160,Star0031,Star0031,Star0037,Star0037,Star0151,Star0052,Star0052,Star0057,Star0057,Star0024,Star0026,Star0157,Star0023,Star0175,Star0161,Star0025,Star0038,Star0038,Star0022,Star0002,Star0021,Star0167,Star0049,Star0049,Star0042,Star0042,Star0008,Star0013,Star0028,Star0098,Star0098,Star0098,Star0098,Star0098,Star0098,Star0098,Star0098,Star0034,Star0034,Star0107,Star0107,Star0107,Star0107,Star0107,Star0107,Star0107,Star0107,Star0047,Star0047,Star0010,Star0115,Star0115,Star0115,Star0115,Star0115,Star0115,Star0115,Star0115,Star0020,Star0006,Star0027,Star0007,Star0000,Star0004,Star0016,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X
*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X
*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,Star0160,Star0165,Star0154,Star0159,Star0164,Star0150,Star0170,Star0179,Star0155,Star0151,Star0161,Star0009,Star0168,Star0022,Star0172,Star0157,Star0023,Star0152,Star0162,Star0169,Star0153,Star0176,Star0166,Star0001,Star0017,Star0003,Star0021,Star0058,Star0058,Star0020,Star0006,Star0028,Star0008,Star0010,Star0025,Star0030,Star0030,Star0024,Star0007,Star0059,Star0059,Star0016,Star0041,Star0041,Star0027,Star0029,Star0055,Star0055,Star0002,Star0004,Star0045,Star0045,Star0048,Star0048,Star0000,Star0081,Star0081,Star0081,Star0081,Star0039,Star0039,Star0015,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X
*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X
*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,Star0075,Star0075,Star0075,Star0075,Star0022,Star0163,Star0171,Star0177,Star0155,Star0174,Star0026,Star0169,Star0013,Star0152,Star0160,Star0170,Star0164,Star0167,Star0009,Star0067,Star0067,Star0067,Star0067,Star0156,Star0088,Star0088,Star0088,Star0088,Star0168,Star0159,Star0003,Star0176,Star0023,Star0178,Star0161,Star0010,Star0084,Star0084,Star0084,Star0084,Star0016,Star0175,Star0158,Star0179,Star0157,Star0150,Star0014,Star0070,Star0070,Star0070,Star0070,Star0154,Star0165,Star0001,Star0173,Star0151,Star0162,Star0166,Star0172,Star0153,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X
*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X
*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X
*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,Star0154,Star0023,Star0026,Star0043,Star0043,Star0168,Star0032,Star0032,Star0153,Star0054,Star0054,Star0179,Star0160,Star0036,Star0036,Star0014,Star0157,Star0152,Star0046,Star0046,Star0056,Star0056,Star0001,Star0049,Star0049,Star0167,Star0175,Star0085,Star0085,Star0085,Star0085,Star0174,Star0176,Star0151,Star0037,Star0037,Star0178,Star0051,Star0051,Star0177,Star0040,Star0040,Star0170,Star0013,Star0173,Star0171,Star0158,Star0156,Star0150,Star0172,Star0159,Star0009,Star0022,Star0033,Star0033,Star0055,Star0055,Star0164,Star0165,Star0155,Star0163,Star0161,Star0003,Star0031,Star0031,Star0016,Star0162,Star0166,Star0169,Star0027,Star0083,Star0083,Star0083,Star0083,Star0061,Star0061,Star0061,Star0061,Star0038,Star0038,Star0034,Star0034,Star0042,Star0042,Star0008,Star0047,Star0047,Star0068,Star0068,Star0068,Star0068,Star0048,Star0048,Star0053,Star0053,Star0017,Star0035,Star0035,Star0010,Star0002,Star0073,Star0073,Star0073,Star0073,Star0030,Star0030,Star0078,Star0078,Star0078,Star0078,Star0057,Star0057,Star0076,Star0076,Star0076,Star0076,Star0069,Star0069,Star0069,Star0069,Star0015,Star0012,Star0018,Star0021,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X
*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X
*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,Star0161,Star0179,Star0151,Star0152,Star0172,Star0178,Star0023,Star0009,Star0156,Star0158,Star0157,Star0162,Star0173,Star0169,Star0176,Star0163,Star0013,Star0001,Star0002,Star0003,Star0006,Star0010,Star0020,Star0008,Star0026,Star0079,Star0079,Star0079,Star0079,Star0039,Star0039,Star0065,Star0065,Star0065,Star0065,Star0024,Star0066,Star0066,Star0066,Star0066,Star0074,Star0074,Star0074,Star0074,Star0052,Star0052,Star0050,Star0050,Star0044,Star0044,Star0016,Star0082,Star0082,Star0082,Star0082,Star0059,Star0059,Star0019,Star0005,Star0012,Star0011,Star0017,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X
*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X
*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,Star0151,Star0022,Star0161,Star0162,Star0175,Star0168,Star0172,Star0155,Star0157,Star0156,Star0158,Star0174,Star0169,Star0173,Star0176,Star0166,Star0013,Star0003,Star0064,Star0064,Star0064,Star0064,Star0008,Star0026,Star0087,Star0087,Star0087,Star0087,Star0024,Star0010,Star0045,Star0045,Star0016,Star0071,Star0071,Star0071,Star0071,Star0019,Star0021,Star0072,Star0072,Star0072,Star0072,Star0002,Star0005,Star0080,Star0080,Star0080,Star0080,Star0063,Star0063,Star0063,Star0063,Star0058,Star0058,Star0062,Star0062,Star0062,Star0062,Star0018,Star0011,Star0041,Star0041,Star0017,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X
*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X
*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,Star0023,Star0159,Star0158,Star0152,Star0162,Star0171,Star0150,Star0169,Star0164,Star0167,Star0154,Star0089,Star0089,Star0089,Star0089,Star0166,Star0161,Star0175,Star0155,Star0157,Star0022,Star0179,Star0174,Star0031,Star0031,Star0165,Star0009,Star0170,Star0055,Star0055,Star0049,Star0049,Star0013,Star0160,Star0002,Star0038,Star0038,Star0153,Star0014,Star0151,Star0053,Star0053,Star0077,Star0077,Star0077,Star0077,Star0026,Star0178,Star0172,Star0168,Star0177,Star0173,Star0163,Star0047,Star0047,Star0024,Star0010,Star0003,Star0048,Star0048,Star0156,Star0027,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X
*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X
*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,Star0175,Star0051,Star0051,Star0026,Star0046,Star0046,Star0165,Star0179,Star0168,Star0036,Star0036,Star0013,Star0155,Star0167,Star0043,Star0043,Star0169,Star0178,Star0023,Star0163,Star0158,Star0040,Star0040,Star0157,Star0153,Star0001,Star0171,Star0003,Star0161,Star0170,Star0177,Star0160,Star0056,Star0056,Star0172,Star0150,Star0164,Star0176,Star0174,Star0037,Star0037,Star0159,Star0152,Star0156,Star0010,Star0009,Star0025,Star0154,Star0022,Star0002,Star0110,Star0110,Star0110,Star0110,Star0110,Star0110,Star0110,Star0110,Star0028,Star0016,Star0151,Star0034,Star0034,Star0008,Star0162,Star0173,Star0166,Star0042,Star0042,Star0017,Star0006,Star0093,Star0093,Star0093,Star0093,Star0093,Star0093,Star0093,Star0093,Star0021,Star0093,Star0093,Star0093,Star0093,Star0093,Star0093,Star0093,Star0093,Star0020,Star0027,Star0029,Star0024,Star0019,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X
*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X
*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,Star0152,Star0170,Star0032,Star0032,Star0177,Star0001,Star0013,Star0171,Star0033,Star0033,Star0169,Star0172,Star0003,Star0008,Star0179,Star0023,Star0175,Star0176,Star0054,Star0054,Star0174,Star0009,Star0166,Star0156,Star0022,Star0106,Star0106,Star0106,Star0106,Star0106,Star0106,Star0106,Star0106,Star0163,Star0025,Star0157,Star0178,Star0161,Star0151,Star0167,Star0165,Star0002,Star0160,Star0024,Star0027,Star0028,Star0154,Star0162,Star0173,Star0016,Star0159,Star0026,Star0158,Star0150,Star0021,Star0153,Star0164,Star0020,Star0006,Star0168,Star0010,Star0155,Star0052,Star0052,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X
*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,Star0156,Star0023,Star0162,Star0174,Star0031,Star0031,Star0176,Star0167,Star0163,Star0013,Star0001,Star0026,Star0048,Star0048,Star0008,Star0024,Star0025,Star0049,Star0049,Star0028,Star0047,Star0047,Star0086,Star0086,Star0086,Star0086,Star0016,Star0115,Star0115,Star0115,Star0115,Star0115,Star0115,Star0115,Star0115,Star0053,Star0053,Star0010,Star0019,Star0002,Star0050,Star0050,Star0041,Star0041,Star0007,Star0004,Star0035,Star0035,Star0011,Star0020,Star0000,Star0027,Star0006,Star0012,Star0017,Star0005,Star0058,Star0058,Star0029,Star0045,Star0045,Star0018,Star0021,Star0015,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X
*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,Star0177,Star0026,Star0156,Star0164,Star0157,Star0160,Star0172,Star0165,Star0014,Star0158,Star0155,Star0166,Star0163,Star0099,Star0099,Star0099,Star0099,Star0099,Star0099,Star0099,Star0099,Star0161,Star0169,Star0178,Star0167,Star0174,Star0175,Star0013,Star0055,Star0055,Star0016,Star0159,Star0170,Star0179,Star0088,Star0088,Star0088,Star0088,Star0084,Star0084,Star0084,Star0084,Star0171,Star0176,Star0023,Star0022,Star0151,Star0027,Star0153,Star0168,Star0162,Star0152,Star0154,Star0009,Star0150,Star0025,Star0075,Star0075,Star0075,Star0075,Star0028,Star0008,Star0067,Star0067,Star0067,Star0067,Star0001,Star0173,Star0100,Star0100,Star0100,Star0100,Star0100,Star0100,Star0100,Star0100,Star0070,Star0070,Star0070,Star0070,,Star0010,Star0101,Star0101,Star0101,Star0101,Star0101,Star0101,Star0101,Star0101,Star0024,Star0006,Star0096,Star0096,Star0096,Star0096,Star0096,Star0096,Star0096,Star0096,Star0019,Star0039,Star0039,Star0020,Star0002,Star0081,Star0081,Star0081,Star0081,Star0030,Star0030,Star0044,Star0044,Star0015,Star0000,Star0038,Star0038,Star0018,Star0021,Star0017,Star0007,Star0011,Star0057,Star0057,Star0059,Star0059,Star0005,Star0012,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X
*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X
*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X
*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,Star0169,Star0164,Star0040,Star0040,Star0177,Star0033,Star0033,Star0037,Star0037,Star0175,Star0170,Star0167,Star0042,Star0042,Star0023,Star0173,Star0014,Star0176,Star0179,Star0008,Star0036,Star0036,Star0151,Star0152,Star0025,Star0174,Star0165,Star0154,Star0178,Star0172,Star0022,Star0157,Star0159,Star0162,Star0001,Star0056,Star0056,Star0013,Star0160,Star0171,Star0046,Star0046,,Star0032,Star0032,Star0161,Star0054,Star0054,Star0009,Star0051,Star0051,Star0150,Star0043,Star0043,Star0163,Star0156,Star0153,Star0155,Star0166,Star0003,Star0158,Star0026,Star0168,Star0106,Star0106,Star0106,Star0106,Star0106,Star0106,Star0106,Star0106,Star0105,Star0105,Star0105,Star0105,Star0105,Star0105,Star0105,Star0105,Star0093,Star0093,Star0093,Star0093,Star0093,Star0093,Star0093,Star0093,Star0097,Star0097,Star0097,Star0097,Star0097,Star0097,Star0097,Star0097,Star0000,Star0052,Star0052,Star0006,,Star0028,Star0068,Star0068,Star0068,Star0068,Star0019,Star0005,Star0017,Star0069,Star0069,Star0069,Star0069,Star0078,Star0078,Star0078,Star0078,Star0011,Star0012,Star0015,Star0018,Star0021,Star0007,Star0076,Star0076,Star0076,Star0076,Star0034,Star0034,Star0029,Star0004,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X
*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,Star0167,Star0164,Star0150,Star0179,Star0022,Star0003,Star0014,Star0151,Star0154,Star0175,Star0177,Star0155,Star0178,Star0159,Star0174,Star0171,Star0168,Star0153,Star0001,Star0162,Star0165,Star0105,Star0105,Star0105,Star0105,Star0105,Star0105,Star0105,Star0105,Star0110,Star0110,Star0110,Star0110,Star0110,Star0110,Star0110,Star0110,Star0009,Star0160,Star0170,Star0031,Star0031,Star0023,,Star0173,Star0163,Star0024,Star0172,Star0176,Star0096,Star0096,Star0096,Star0096,Star0096,Star0096,Star0096,Star0096,Star0158,Star0049,Star0049,Star0025,Star0161,Star0157,Star0156,Star0152,Star0008,Star0169,Star0026,Star0013,Star0166,Star0117,Star0117,Star0117,Star0117,Star0117,Star0117,Star0117,Star0117,Star0007,Star0041,Star0041,Star0117,Star0117,Star0117,Star0117,Star0117,Star0117,Star0117,Star0117,Star0017,Star0028,Star0073,Star0073,Star0073,Star0073,Star0105,Star0105,Star0105,Star0105,Star0105,Star0105,Star0105,Star0105,Star0029,Star0045,Star0045,,Star0000,Star0102,Star0102,Star0102,Star0102,Star0102,Star0102,Star0102,Star0102,Star0011,Star0035,Star0035,Star0012,Star0019,Star0015,Star0058,Star0058,Star0047,Star0047,Star0018,Star0005,Star0021,Star0004,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X
*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,Star0171,Star0159,Star0162,Star0152,Star0168,Star0160,Star0170,Star0154,Star0150,Star0003,Star0175,Star0158,Star0009,Star0172,Star0155,Star0106,Star0106,Star0106,Star0106,Star0106,Star0106,Star0106,Star0106,Star0151,Star0174,Star0161,Star0053,Star0053,Star0156,Star0167,Star0169,Star0177,Star0173,Star0014,Star0001,Star0106,Star0106,Star0106,Star0106,Star0106,Star0106,Star0106,Star0106,Star0023,Star0164,Star0048,Star0048,Star0013,Star0178,Star0165,Star0022,Star0163,Star0157,Star0176,Star0179,Star0166,Star0106,Star0106,Star0106,Star0106,Star0106,Star0106,Star0106,Star0106,Star0153,Star0083,Star0083,Star0083,Star0083,Star0106,Star0106,Star0106,Star0106,Star0106,Star0106,Star0106,Star0106,Star0008,Star0026,Star0117,Star0117,Star0117,Star0117,Star0117,Star0117,Star0117,Star0117,Star0059,Star0059,Star0010,Star0007,Star0002,Star0029,Star0024,Star0096,Star0096,Star0096,Star0096,Star0096,Star0096,Star0096,Star0096,Star0057,Star0057,Star0044,Star0044,Star0025,Star0004,Star0011,Star0005,Star0020,Star0055,Star0055,Star0000,Star0030,Star0030,Star0108,Star0108,Star0108,Star0108,Star0108,Star0108,Star0108,Star0108,Star0018,Star0019,Star0015,Star0012,Star0039,Star0039,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X
